"","array","site","buff_dist","red_squirrel","absent_red_squirrel","lc_grassland","lc_coniferous","lc_mixed","lc_broadleaf","lc_shrub"
"4409","LU1","LU1_73",2250,9,56,0.024951297,0.441222776,0.025284428,0.255429527,0.186379246
"4410","LU1","LU1_73",2500,9,56,0.035284461,0.413202859,0.024291958,0.274975415,0.176758011
"4411","LU1","LU1_73",2750,9,56,0.041116078,0.379848956,0.024446682,0.293382875,0.173636994
"4412","LU1","LU1_73",3000,9,56,0.048098436,0.357281451,0.024111362,0.30578857,0.165884598
"4413","LU1","LU1_73",3250,9,56,0.051124573,0.338973301,0.026551607,0.326933614,0.158006507
"4414","LU1","LU1_73",3500,9,56,0.04976624,0.324791086,0.031349997,0.342571607,0.155434579
"4415","LU1","LU1_73",3750,9,56,0.048273389,0.323585561,0.033573921,0.350391338,0.15346397
"4416","LU1","LU1_73",4000,9,56,0.04804717,0.33342676,0.035675454,0.350094745,0.146129325
"4417","LU1","LU1_73",4250,9,56,0.047082618,0.347783129,0.036966862,0.347111217,0.139024528
"4418","LU1","LU1_73",4500,9,56,0.046728069,0.361152472,0.038653537,0.342005919,0.131910436
"4419","LU1","LU1_73",4750,9,56,0.044878097,0.365247786,0.039144734,0.343251436,0.127671076
"4420","LU1","LU1_73",5000,9,56,0.042800035,0.366688672,0.03911693,0.352527638,0.119176403
"4421","LU1","LU1_74",250,2,63,0.00814359699999999,0.775471024,0,0,0
"4422","LU1","LU1_74",500,2,63,0.061488257,0.770220003,0,0,0.043708856
"4423","LU1","LU1_74",750,2,63,0.097545024,0.707452293,0.011658144,0.020621561,0.075808497
"4424","LU1","LU1_74",1000,2,63,0.118254019,0.625907753,0.099021405,0.032099829,0.059349289
"4425","LU1","LU1_74",1250,2,63,0.098454445,0.642851556,0.108750193,0.046851129,0.05304367
"4426","LU1","LU1_74",1500,2,63,0.095935626,0.599973242,0.111050446,0.089727174,0.064967929
"4427","LU1","LU1_74",1750,2,63,0.099130199,0.566440038,0.097125806,0.135851962,0.0643173359999999
"4428","LU1","LU1_74",2000,2,63,0.098427937,0.558387062,0.08657897,0.140287165,0.057301152
"4429","LU1","LU1_74",2250,2,63,0.098117286,0.526583386,0.080478938,0.142367965,0.069432413
"4430","LU1","LU1_74",2500,2,63,0.092827874,0.484597771,0.077277723,0.149657932,0.096877019
"4431","LU1","LU1_74",2750,2,63,0.087354095,0.451346436,0.073130919,0.153652061,0.120545542
"4432","LU1","LU1_74",3000,2,63,0.080573037,0.430238022,0.066632116,0.154339239,0.138370897
"4433","LU1","LU1_74",3250,2,63,0.075186099,0.4052304,0.063261039,0.1525162,0.159924863
"4434","LU1","LU1_74",3500,2,63,0.071527511,0.382170962,0.062345168,0.155437233,0.172113489
