array,camera,site,date
WF,1,WF_1,2019-11-27
WF,1,WF_1,2019-11-28
WF,1,WF_1,2019-11-29
WF,1,WF_1,2019-11-30
WF,1,WF_1,2019-12-01
WF,1,WF_1,2019-12-02
WF,1,WF_1,2019-12-03
WF,1,WF_1,2019-12-04
WF,1,WF_1,2019-12-05
WF,1,WF_1,2019-12-06
WF,1,WF_1,2019-12-07
WF,1,WF_1,2019-12-08
WF,1,WF_1,2019-12-09
WF,1,WF_1,2019-12-10
WF,1,WF_1,2019-12-11
WF,1,WF_1,2019-12-12
WF,1,WF_1,2019-12-13
WF,1,WF_1,2019-12-14
WF,1,WF_1,2019-12-15
WF,1,WF_1,2019-12-16
WF,1,WF_1,2019-12-17
WF,1,WF_1,2019-12-18
WF,1,WF_1,2019-12-19
WF,1,WF_1,2019-12-20
WF,1,WF_1,2019-12-21
WF,1,WF_1,2019-12-22
WF,1,WF_1,2019-12-23
WF,1,WF_1,2019-12-24
WF,1,WF_1,2019-12-25
WF,1,WF_1,2019-12-26
WF,1,WF_1,2019-12-27
WF,1,WF_1,2019-12-28
WF,1,WF_1,2019-12-29
WF,1,WF_1,2019-12-30
WF,1,WF_1,2019-12-31
WF,1,WF_1,2020-01-01
WF,1,WF_1,2020-01-02
WF,1,WF_1,2020-01-03
WF,1,WF_1,2020-01-04
WF,1,WF_1,2020-01-05
WF,1,WF_1,2020-01-06
WF,1,WF_1,2020-01-07
WF,1,WF_1,2020-01-08
WF,1,WF_1,2020-01-09
WF,1,WF_1,2020-01-10
WF,1,WF_1,2020-01-11
WF,1,WF_1,2020-01-12
WF,1,WF_1,2020-01-13
WF,1,WF_1,2020-01-14
WF,1,WF_1,2020-01-15
WF,1,WF_1,2020-01-16
WF,1,WF_1,2020-01-17
WF,1,WF_1,2020-01-18
WF,1,WF_1,2020-01-19
WF,1,WF_1,2020-01-20
WF,1,WF_1,2020-01-21
WF,1,WF_1,2020-01-22
WF,1,WF_1,2020-01-23
WF,1,WF_1,2020-01-24
WF,1,WF_1,2020-01-25
WF,1,WF_1,2020-01-26
WF,1,WF_1,2020-01-27
WF,1,WF_1,2020-01-28
