"","array","site","buff_dist","red_squirrel","absent_red_squirrel","harvest","seismic","linear","wells","roads","osm_industrial"
"8177","LU22","LU22_48",4250,5,46,0.00821169407768576,0.0229665243887422,0.0138076458214128,0.00398478765398255,0.00285954044702472,0.00510085782292933
"8178","LU22","LU22_48",4500,5,46,0.00732462835941748,0.0232965452343331,0.0130638421415748,0.00415765178912363,0.00266637326310483,0.00461201051611277
"8179","LU22","LU22_48",4750,5,46,0.0065739046771501,0.0233858902857905,0.012401697310236,0.00413655695780493,0.00248153537095581,0.00431882983401409
"8180","LU22","LU22_48",5000,5,46,0.0061636644657763,0.0233847867432342,0.0118092014161928,0.00380966587963687,0.00232310964970433,0.00407676885404909
"8181","LU22","LU22_49",250,1,50,0,0.0330011350696763,0.0323764788885375,0,0.0176258651640174,0.0232132620926251
"8182","LU22","LU22_49",500,1,50,0,0.0234862139906235,0.0180055485482282,0,0.0118826813903755,0.0537750705886772
"8183","LU22","LU22_49",750,1,50,0,0.0205683462840366,0.014577289352875,0,0.00935486364909424,0.0438446578472948
"8184","LU22","LU22_49",1000,1,50,0.0217050293631009,0.0195838158843319,0.0304116327896173,0.00320745674784782,0.00794099757106379,0.0291974611891345
"8185","LU22","LU22_49",1250,1,50,0.0319902582408199,0.0214130743600557,0.0285401379620486,0.00205277231862295,0.00761289289719131,0.0203581308418807
"8186","LU22","LU22_49",1500,1,50,0.0241042904519091,0.0217823716235342,0.0255074608149339,0.0025471154156276,0.00823310275794574,0.0175931394939211
"8187","LU22","LU22_49",1750,1,50,0.0221883013718573,0.0210262903466373,0.0231659579336435,0.00517046421497252,0.00853957060399728,0.0159092501172265
"8188","LU22","LU22_49",2000,1,50,0.0244961285016926,0.0195879934104737,0.0215537468829072,0.0052503533825243,0.00756624355628077,0.0144653205801842
"8189","LU22","LU22_49",2250,1,50,0.0212180490957945,0.0200863980104328,0.0195462288755338,0.00510301200734586,0.00665348241834058,0.0116290886938967
"8190","LU22","LU22_49",2500,1,50,0.0186362882382626,0.019182204744862,0.018522804268123,0.00555227941420408,0.00590663905131479,0.0117459538365605
"8191","LU22","LU22_49",2750,1,50,0.0154018911060025,0.0190792135059407,0.0175120728691372,0.00471341733099283,0.00521018009225131,0.00996013061881305
"8192","LU22","LU22_49",3000,1,50,0.0142657089307471,0.0194361372114356,0.0162620700622153,0.00396057984062609,0.00466091652796944,0.00857770187420959
"8193","LU22","LU22_49",3250,1,50,0.0140424827719004,0.0194383933236133,0.0153152648418997,0.00376467417903831,0.00424502817296427,0.00801567461717082
"8194","LU22","LU22_49",3500,1,50,0.0121080591247512,0.0199931794731712,0.014651308426624,0.0036127716703893,0.00394119737808106,0.00722129405054564
"8195","LU22","LU22_49",3750,1,50,0.010547464837561,0.0206498626020807,0.0141756288581675,0.00341165142478011,0.00360926222193035,0.00635378829193981
"8196","LU22","LU22_49",4000,1,50,0.00953077794122071,0.0210493760327955,0.0136200442086053,0.00361485352858936,0.00336097629500241,0.006170749998815
"8197","LU22","LU22_49",4250,1,50,0.00995525607584664,0.0213709278169488,0.0130339288000401,0.00333239046287458,0.00306746611585687,0.00559645897955656
"8198","LU22","LU22_49",4500,1,50,0.00979369212348979,0.0216169729674643,0.0125498569970042,0.00317920881774132,0.00281535581457939,0.00499190322559223
"8199","LU22","LU22_49",4750,1,50,0.0103007505383355,0.0218713949235756,0.0122107904451113,0.00346848382561135,0.00259971146731545,0.00449962152345035
"8200","LU22","LU22_49",5000,1,50,0.0106580496049724,0.0222623863975381,0.0120265017206063,0.00376616503188156,0.00246963350406327,0.00449426010170814
"8201","LU22","LU22_50",250,3,45,0,0.045169986175941,0,0.0460762757414508,0.00382662037859781,0
"8202","LU22","LU22_50",500,3,45,0.00585738728704525,0.0406566098817401,0,0.0115190689353558,0.0117841076525049,0
"8203","LU22","LU22_50",750,3,45,0.0231801107858131,0.0334335334953482,0.00351610021165369,0.0052040100481004,0.0122384254609702,0.00540017585300789
"8204","LU22","LU22_50",1000,3,45,0.020814585723853,0.0379512304878241,0.00979834818940074,0.00870292015287382,0.010762588096577,0.00670605905373215
"8205","LU22","LU22_50",1250,3,45,0.049853082323781,0.0381823461410811,0.0088293534947976,0.00758254271822662,0.00895407693407297,0.00429187779438904
"8206","LU22","LU22_50",1500,3,45,0.104217565300899,0.0344688655633198,0.00774617558017831,0.00526565466543454,0.00769979036038275,0.00432650868652703
"8207","LU22","LU22_50",1750,3,45,0.13653961215754,0.0318900717120372,0.00985647201620583,0.00556401937931108,0.0069473587358435,0.00333994226397386
"8208","LU22","LU22_50",2000,3,45,0.171041851886886,0.0300232784280752,0.0122598743835569,0.0052606030338833,0.00644588854156317,0.00258993697974728
"8209","LU22","LU22_50",2250,3,45,0.182473978574953,0.0278069914772472,0.012258386314114,0.00586540827447163,0.00628807984911368,0.0045645593739192
"8210","LU22","LU22_50",2500,3,45,0.179947793632015,0.0262249200006961,0.012446750926614,0.00696277281539963,0.00565069105491612,0.00501579489518831
"8211","LU22","LU22_50",2750,3,45,0.175938149561292,0.0260145448024301,0.01179671194812,0.00752919187730609,0.00511383009149888,0.0045522643701404
"8212","LU22","LU22_50",3000,3,45,0.169610657428249,0.0255148649303089,0.0109533230492364,0.007358789756707,0.00467321842782688,0.00430212106276014
"8213","LU22","LU22_50",3250,3,45,0.160972881486806,0.0245227157267899,0.0107377561999095,0.00727497662896927,0.00429976952822532,0.00431263015389959
"8214","LU22","LU22_50",3500,3,45,0.154649116888581,0.0236907890151308,0.0103554365129696,0.00804375489575327,0.00398030317303839,0.00415501784782699
"8215","LU22","LU22_50",3750,3,45,0.147612538785166,0.0234443836781588,0.00985796630617648,0.00789872470274247,0.00370636815020813,0.00391041340709345
"8216","LU22","LU22_50",4000,3,45,0.142738493317349,0.0228545541222621,0.00946260873800307,0.00779132255469251,0.00364296511504221,0.00368191876907271
"8217","LU22","LU22_50",4250,3,45,0.141491092995614,0.0221994223931332,0.0099586519630583,0.00748978279542709,0.00344259798249963,0.00359689498062631
"8218","LU22","LU22_50",4500,3,45,0.141745116993965,0.0216777306894628,0.0100948149544195,0.00729943080040773,0.00335656187178326,0.00358579449355568
"8219","LU22","LU22_50",4750,3,45,0.139603068693637,0.0211428124688644,0.0103226960087275,0.00734733204366578,0.00331629921956491,0.0035786935103574
"8220","LU22","LU22_50",5000,3,45,0.137039359450751,0.0209286279535599,0.0105653160816079,0.00728204691165229,0.00321706078428662,0.00350257960174145
"8221","LU22","LU22_53",250,8,42,0.127555978271924,0.0186464875280113,0,0,0.0225570439286625,0
"8222","LU22","LU22_53",500,8,42,0.154662414983857,0.00837404227946523,0,0,0.0126642191818738,0
"8223","LU22","LU22_53",750,8,42,0.123351958699707,0.0143247331481677,0,0,0.00936055628730116,0
"8224","LU22","LU22_53",1000,8,42,0.121034354502273,0.0159926180807327,0,0.000442675042736786,0.00699916244653778,0
"8225","LU22","LU22_53",1250,8,42,0.0951004532984523,0.0170254921222291,0,0.00170900580939028,0.00564376367997639,0
"8226","LU22","LU22_53",1500,8,42,0.0712744792954885,0.0164817298197233,0,0.00153946371006296,0.00471276550259102,0
"8227","LU22","LU22_53",1750,8,42,0.0659489555652661,0.0142833977427458,0,0.00176344878984669,0.00402025583275073,0
"8228","LU22","LU22_53",2000,8,42,0.0799984217626958,0.0131675249901926,0,0.00135014047972635,0.00349780495140529,0
"8229","LU22","LU22_53",2250,8,42,0.0910679269956774,0.0130619286943023,0,0.00106677766299368,0.00309282952223851,0
"8230","LU22","LU22_53",2500,8,42,0.0915561661431108,0.0129003768253365,0,0.000864089907024817,0.00281483644827099,0
"8231","LU22","LU22_53",2750,8,42,0.096598346416201,0.0121470361004346,0,0.000714123890103204,0.00262459819385163,0
"8232","LU22","LU22_53",3000,8,42,0.10234319082481,0.0117710942138159,0,0.000908868377892355,0.00242524021707636,0
"8233","LU22","LU22_53",3250,8,42,0.110914608004639,0.0115615098459024,0,0.00148885144919627,0.00226775834618486,0.000455042722800013
"8234","LU22","LU22_53",3500,8,42,0.119482750770864,0.011372214654948,0,0.00128375456588865,0.00220036926545264,0.000431396944014576
"8235","LU22","LU22_53",3750,8,42,0.135899839321274,0.0109335900294962,0,0.00111829286628522,0.00203276207328267,0.000700043844416408
"8236","LU22","LU22_53",4000,8,42,0.145494442257201,0.0109390751763727,0,0.000982874589508498,0.00188844692884739,0.00074226809472881
"8237","LU22","LU22_53",4250,8,42,0.149577610348222,0.0105855925997677,0,0.00104157194774922,0.00176235711321927,0.000657510838237275
