array,site,months_active,black_bear,caribou,cougar,coyote,fisher,grey_wolf,lynx,moose,red_fox,red_squirrel,snowshoe_hare,white_tailed_deer,wolverine,absent_black_bear,absent_caribou,absent_cougar,absent_coyote,absent_fisher,absent_grey_wolf,absent_lynx,absent_moose,absent_red_fox,absent_white_tailed_deer,absent_wolverine,absent_snowshoe_hare,absent_red_squirrel
LU2,LU2_40,14,4,0,0,1,0,1,1,1,0,0,8,13,0,6,14,14,13,14,13,13,13,14,1,14,6,14
LU2,LU2_57,14,7,0,0,0,0,0,0,0,3,3,0,13,0,3,14,14,14,14,14,14,14,11,1,14,14,11
LU2,LU2_56,14,4,0,0,0,0,1,0,0,1,2,3,12,0,6,14,14,14,14,13,14,14,13,2,14,11,12
LU2,LU2_27,7,2,0,0,0,2,1,1,0,1,0,5,5,0,3,7,7,7,5,6,6,7,6,2,7,2,7
LU2,LU2_52,14,6,0,1,0,0,1,2,0,0,7,11,13,0,4,14,13,14,14,13,12,14,14,1,14,3,7
LU2,LU2_54,14,3,0,0,2,0,2,2,0,0,1,5,14,0,7,14,14,12,14,12,12,14,14,0,14,9,13
LU2,LU2_155,14,3,0,1,1,0,2,0,2,0,0,4,11,0,7,14,13,13,14,12,14,12,14,3,14,10,14
LU2,LU2_100,7,1,0,0,3,3,0,3,0,3,3,2,6,0,4,7,7,4,4,7,4,7,4,1,7,5,4
LU2,LU2_20,14,6,0,1,2,0,0,0,3,0,0,0,12,0,4,14,13,12,14,14,14,11,14,2,14,14,14
LU2,LU2_21,14,7,0,0,1,5,0,1,2,0,4,6,11,0,3,14,14,13,9,14,13,12,14,3,14,8,10
LU2,LU2_137,14,2,0,1,4,0,0,0,1,0,0,3,13,0,8,14,13,10,14,14,14,13,14,1,14,11,14
LU2,LU2_123,7,3,0,0,0,1,0,0,3,1,3,0,6,0,2,7,7,7,6,7,7,4,6,1,7,7,4
LU2,LU2_119,14,4,0,1,8,1,0,6,3,0,0,14,9,0,6,14,13,6,13,14,8,11,14,5,14,0,14
LU2,LU2_30,7,2,0,0,3,0,0,0,2,0,0,0,7,0,3,7,7,4,7,7,7,5,7,0,7,7,7
LU2,LU2_31,7,4,0,0,1,0,0,0,0,0,1,5,6,0,1,7,7,6,7,7,7,7,7,1,7,2,6
