model_name,scale,df,logLik,AICc,delta,delta_subsetted,weight_subsetted,intercept,fire_0_15,lc_broadleaf,lc_coniferous,lc_mixedwood,lc_shrubs,lc_wetland,lc_wetland_treed,pipe_trans,seismic,wells_inactive,harvest_0_15,osm_industrial,wells_active,nonanthro_ed,landscape_shei,landscape_mesh,cfi_site,cfi_site:nonanthro_ed
m_active_250,250,10,-4695.021562765374,9410.08795944149,4.377423933678074,3.6056622712221724,0.0744744897405161,-1.5736542870387316,0.24844893544629337,-0.4703491385645699,-0.007829339651331396,0.20179230214664393,NA,NA,NA,NA,NA,NA,NA,0.05692470187141721,0.024848045018659948,NA,NA,NA,NA,NA
m_seis_wells_100,100,11,-4694.190705298287,9410.435222255766,4.724686747955275,4.724686747955275,0.0514844192476978,-1.5707379981367853,0.2105238971133334,-0.4686971427847366,-0.005971432686012336,0.16265686243337654,NA,NA,NA,0.0011555592615634237,-0.0746901756548811,-0.07006134549362227,NA,NA,NA,NA,NA,NA,NA,NA
m_harvest_seis_250,250,12,-4693.245914532095,9410.555437626883,4.844902119071776,4.073140456615874,0.0589516463476945,-1.5747338056717441,0.18321385293395537,-0.45907535816617456,0.008375857306504931,0.18127441548823545,NA,NA,NA,0.04602042687331489,-0.09384409546514155,-0.1307728347895289,0.05261592799218951,NA,NA,NA,NA,NA,NA,NA
m_active_harvest_100,100,11,-4694.4555529958125,9410.964917650817,5.254382143006296,5.254382143006296,0.0395051690547288,-1.568301414643781,0.22627809245636216,-0.46759595434761775,-0.008219294898246068,0.17128209102886877,NA,NA,NA,NA,NA,NA,0.062049435185275156,0.04002775684840255,-0.04161820947231428,NA,NA,NA,NA,NA
m_seis_wells_500,500,11,-4694.520619676579,9411.095051012351,5.384515504540104,0,0.334165842199126,-1.5722977059095886,0.10157802002180533,-0.4299652481648339,-0.021637085281502592,0.15879943527033688,NA,NA,NA,0.09050700626019487,-0.1654119930049538,-0.18237935617544124,NA,NA,NA,NA,NA,NA,NA,NA
m_active_harvest_250,250,11,-4694.7484067622845,9411.550625183761,5.840089675950367,5.068328013494465,0.0358421213575905,-1.5727082368059073,0.23130677470546251,-0.46390031669222354,0.0033557795101892152,0.20189045118094323,NA,NA,NA,NA,NA,NA,0.07290545996530105,0.06390560749604661,0.028789534915629727,NA,NA,NA,NA,NA
m_seis_wells_1000,1000,11,-4694.80912074764,9411.672053154472,5.9615176466613775,0,0.396687947019204,-1.5672091128574193,0.09986460970082585,-0.4185729324137471,-0.06241907519706459,0.162231006560105,NA,NA,NA,0.18626192339625927,-0.19807859037912254,-0.15857575727662065,NA,NA,NA,NA,NA,NA,NA,NA
m_harvest_seis_500,500,12,-4693.951733072914,9411.96707470852,6.256539200709085,0.8720236961689807,0.216074996878115,-1.5697757976373097,0.0809820210834367,-0.41995347792067234,-0.011400909951484479,0.1609497085984076,NA,NA,NA,0.09792059100279876,-0.15023653956873495,-0.17808452792300186,0.10226900168792376,NA,NA,NA,NA,NA,NA,NA
m_active_50,50,10,-4695.995468231209,9412.035770373159,6.325234865347738,3.735620469557034,0.0854443488274178,-1.5707508966831696,0.23246166740495672,-0.4192883823501955,0.023707548501668514,0.16679838799546778,NA,NA,NA,NA,NA,NA,NA,0.023170362841504498,-0.04365215653706303,NA,NA,NA,NA,NA
m_harvest_seis_100,100,12,-4694.069842145881,9412.203292854454,6.492757346642975,6.492757346642975,0.0212688577138363,-1.569600786453222,0.20406344519925315,-0.4625851555866222,0.0027250986475068233,0.16377368682821125,NA,NA,NA,0.00572480065336624,-0.06798767253430704,-0.06871359072827642,0.048351426285255274,NA,NA,NA,NA,NA,NA,NA
m_harvest_seis_1000,1000,12,-4694.114130082131,9412.291868726954,6.581333219142834,0.6198155724814569,0.290976398102523,-1.5644452713895185,0.07051988005100687,-0.41125561963299473,-0.05303874953033698,0.1632452116862023,NA,NA,NA,0.18862692730044228,-0.18088377576098402,-0.15205405199618863,0.11551623565003384,NA,NA,NA,NA,NA,NA,NA
m_active_seis_250,250,13,-4693.204728494829,9412.483682112008,6.7731466041968815,6.00138494174098,0.0224793095794684,-1.5768550924206695,0.1966531007707394,-0.46000648156230656,0.008555059799349783,0.18572082460755282,NA,NA,NA,0.04862226456315752,-0.09698108753883805,-0.1320583314139308,NA,0.05657529509854657,0.003265848547819761,NA,NA,NA,NA,NA
m_core_500,500,8,-4698.243673612437,9412.516681101428,6.806145593616748,1.4216300890766433,0.164156847625455,-1.5704927305185614,0.20778645989250766,-0.4435378552394471,-0.04530675490425602,0.18319493075179843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_harvest_500,500,9,-4697.3806047848275,9412.79788438628,7.087348878469129,1.7028333739290247,0.142625272147056,-1.5676732361517838,0.17365529517528785,-0.4351112418163277,-0.03362919398489817,0.18306713409862405,NA,NA,NA,NA,NA,NA,0.12543548405006896,NA,NA,NA,NA,NA,NA,NA
m_seis_wells_1250,1250,11,-4695.487101169655,9413.028013998503,7.317478490691428,0,0.369467596684705,-1.565081735448354,0.10996538556634206,-0.41424179733301025,-0.07873889302481937,0.16426996970684116,NA,NA,NA,0.1938784650032413,-0.23898446051399241,-0.0778426581752926,NA,NA,NA,NA,NA,NA,NA,NA
m_active_harvest_50,50,11,-4695.728327148686,9413.510465956564,7.799930448753003,5.210316052962298,0.0408749530834494,-1.5692533592918525,0.21824584337844694,-0.41061703951710915,0.0364517867653843,0.1692626096203614,NA,NA,NA,NA,NA,NA,0.07077216758264111,0.02645515930096786,-0.04507916164556593,NA,NA,NA,NA,NA
m_seis_wells_750,750,11,-4695.778892760613,9413.61159718042,7.9010616726081935,0,0.292759973663165,-1.570494769494546,0.10415094274856351,-0.3945716799215856,-0.02220351103310375,0.14684741993823802,NA,NA,NA,0.1700551884836678,-0.17617604951781657,-0.14231750238762772,NA,NA,NA,NA,NA,NA,NA,NA
m_harvest_seis_750,750,12,-4694.843912867032,9413.751434296755,8.040898788944105,0.13983711633591156,0.272989822045285,-1.5673631837663327,0.07423354719266648,-0.38305922792870595,-0.009907899512133351,0.1492043840135634,NA,NA,NA,0.17736667412214677,-0.15630899241679877,-0.13517374765230677,0.13199526131578979,NA,NA,NA,NA,NA,NA,NA
