"","site","buff_dist","array","red_squirrel","absent_red_squirrel","harvest","seismic","roads","linear","wells","lc_grassland","lc_coniferous","lc_broadleaf","lc_mixed","lc_shrub","osm_industrial","natural_cohesion","anthropogenic_cohesion","natural_ed","anthropogenic_ed","natural_tca","anthropogenic_tca"
"1313","LU2_54",3250,"LU2",1,60,0.330144239093008,0.00331234962517606,0.00284949652067612,0.00605884161057225,0.00233007658249867,0.0635803438778281,0.150300351583178,0.351784514926615,0.369772061549749,0.0343360726632569,0.000609027423976401,99.5080146555179,99.913510248461,100.20955369202,99.6196431191522,1610.8525,823.5025
"1314","LU2_54",3500,"LU2",1,60,0.311301192342086,0.00395525213983973,0.0027057837488412,0.00581621177356983,0.00265198322511985,0.0625617423595483,0.149993228864401,0.358969124092503,0.357124956822716,0.0330683552092409,0.000525130789040911,99.5076695573622,99.9145509471218,99.8959201206392,99.1873463783576,1903.125,898.55
"1315","LU2_54",3750,"LU2",1,60,0.296588013316415,0.00418061531547949,0.00259351390435533,0.00556978764259517,0.00255598959426459,0.0607708075623739,0.15515404834713,0.35655139926255,0.345326306119714,0.0344558004614165,0.00045744726512007,99.512527420323,99.913495252991,97.7277031400604,96.8571129760333,2219.6225,985.135
"1316","LU2_54",4000,"LU2",1,60,0.285222522751452,0.0042019949427009,0.0024333923187528,0.00533427255187347,0.00265016898904424,0.0595385438898054,0.15848666989837,0.35481425096031,0.334083316708537,0.0332622497110159,0.000402053260359442,99.5182420339588,99.9156521612661,94.8435514703215,93.3587948228305,2543.7125,1083.465
"1317","LU2_54",4250,"LU2",1,60,0.2733614682393,0.00425970606786125,0.00229326126186463,0.00509736041049456,0.002347554537008,0.055704418641925,0.167247410670118,0.350148375091533,0.32154333571558,0.0325378637126009,0.000356144064539844,99.5258125268226,99.9158102875733,92.1522785390198,89.9776506359026,2883.5675,1174.7175
"1318","LU2_54",4500,"LU2",1,60,0.264104336603522,0.00430523062811091,0.00217217305213861,0.00474470230636601,0.00223932836046024,0.0523247147463044,0.175144851669755,0.346544737222502,0.311218983789444,0.0309798514154518,0.000317671711888934,99.5411842022307,99.9191172328005,88.9827846192511,86.5905378235738,3250.23,1275.2425
"1319","LU2_54",4750,"LU2",1,60,0.253638595032811,0.00431942677080979,0.00203837283216166,0.00450668912126554,0.00207981630693486,0.0496683603622398,0.173656569551942,0.345945580393236,0.304291576023679,0.030322683065395,0.000285112561362927,99.6031088013933,99.9201073765863,85.0358598540228,82.6827992539007,3645.27,1374.4775
"1320","LU2_54",5000,"LU2",1,60,0.243597017678809,0.00429052854098255,0.00191256971597735,0.00439385264990349,0.00233353939447985,0.0480483068544499,0.168212665278503,0.347768139184184,0.299167837423337,0.0282418211341303,0.00025731408663003,99.6107562899062,99.919887767408,82.5574951598259,79.9431967480647,4043.9775,1467.0525
"1321","LU2_155",250,"LU2",0,61,0.670866136437436,0.000666380111115841,0.0181581680320269,0,0,0,0,0.482419463778468,0.507930833352547,0.00964970286848222,0,96.2842841634684,99.7062098920688,196.166293253672,196.166293253672,1.52,8.17
"1322","LU2_155",500,"LU2",0,61,0.382590568782332,0.00715816855020752,0.011511001966296,0,0,0,0,0.434071980139742,0.526375866410904,0.0395521534492284,0,98.559158511952,99.5431679372785,192.187844260489,192.187844260489,24.2425,18.295
