array,site,red_squirrel,absent_red_squirrel,buffer_dist,harvest,roads,trails,veg_edges,wells,lc_grassland,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial,forest_cai_mn,nonforest_cai_mn,nonveg_anthro_cai_mn,veg_anthro_cai_mn,forest_cohesion,nonforest_cohesion,nonveg_anthro_cohesion,veg_anthro_cohesion,forest_ed,nonforest_ed,nonveg_anthro_ed,veg_anthro_ed,forest_tca,nonforest_tca,nonveg_anthro_tca,veg_anthro_tca,seismic,pipe_trans
LU16,LU16_77,3,48,5000,0.05099991233214141,0.00377593031619473,0.00227326832331414,0.0026518471408466,0.00111921044017446,0,0.8686635122802692,0.00716517449285986,0.00225216987417992,0.0241112121537496,0.0432488331642099,0.0053398001015648,44.681571722795645,15.600060858535134,6.806574305962716,1.1503221776010857,99.84140195754227,99.28200250105922,99.49683075752075,99.3922130304384,46.98718256643251,4.472788363624333,13.686859641292552,45.53145855847057,5891.34,201.4775,63.6375,323.9325,0.003812054373152004,0.00785373367191076
LU16,LU16_80,0,51,5000,0.08321469267261412,0.0037298453961709,0.00181032599420302,0.0031359246129594,8.060652780981091e-4,0,0.791753879953694,0.00749389189053648,0.00207505511023327,0.02547373509130381,0.0588441360376627,0.00526591178965167,37.6897228778229,12.595455692591486,8.082724250357215,2.1385519559412396,99.80870626728628,99.06836015162466,99.38801059251544,99.5924094104152,44.89478708808032,7.094041863754313,13.974308116188316,44.499683949300824,5170.345,239.66,58.985,547.9475,0.003653812044419844,0.00798039081039949
LU16,LU16_81,14,34,5000,0.0332776380717363,0.00339144580069368,0.002365410182118,0.0016273496472501,0.00135841639329843,0,0.817192367093551,0.00867269314871007,0.00828517137878254,0.02036957182719731,0.04531614976641801,0.00157436145185275,40.600622854763785,16.722955080003583,8.961801775797467,1.1678141537351825,99.89372729766217,99.3848748894215,99.4609332894607,99.1905738005704,40.97688413307705,5.506171378470705,11.61296972496502,36.17314090365091,5709.09,257.01,40.8275,221.6525,0.0027177130527698793,0.0083529357487772
LU16,LU16_83,13,38,5000,0.206881372072536,0.00379661471128119,0.00132319548108723,0.00507058616101178,0.00118070984576111,6.458275123949852e-4,0.8190654740987482,0.00623269451579758,0.0228555070408212,0.0252185048146457,0.104278901290756,0.01706266427139521,29.052030672862575,11.955334375917106,12.145896659624832,2.9213341246690296,99.659585683017,99.2084467396092,99.29234492735988,99.8335275200566,58.86050700547624,11.363498990582803,15.579318940840452,60.89524775418194,4534.44,380.3825,101.85,1417.9625,0.00498885948257837,0.00587585717176184
LU16,LU16_84,12,39,5000,0.19943767321602104,0.00399587388938368,0.00103024243283314,0.00473673262215349,8.263625699152661e-4,6.458275123949792e-4,0.8488999213488726,0.00347625872727361,0.0185557588408853,0.02458308967359499,0.101732958137244,0.0131093005664976,30.227134216101497,14.70044042351802,11.819700366616942,4.082724386076778,99.68674409041182,99.23938539179969,99.36906280712468,99.82833513212609,57.87790147433787,11.293342177133686,14.571910753965792,58.72219809794668,4773.745,409.3825,81.7875,1339.57,0.00472196220960585,0.00637695329786018
LU16,LU16_85,8,43,5000,0.18199635499135805,0.00423826849091328,7.934706261406133e-4,0.00479047194091947,6.501849384020555e-4,6.458275123950053e-4,0.872173228242343,0.00250496991118397,0.0172253274993977,0.0264385067691009,0.08054210055141472,0.00889232366275147,30.41341853268974,14.049100081261145,11.869393718877134,3.4137773535471347,99.66027578667024,99.03715525484942,99.40611790131074,99.81454199572404,54.906629018394256,8.726628623927224,14.61182217680903,56.86496693793698,5076.66,330.605,64.2175,1204.44,0.00496913578820383,0.00721063977183633
LU16,LU16_88,11,40,5000,0.13043486417593603,0.00409868141243653,0.00155369547556912,0.00379450325362559,6.857681157622939e-4,0,0.8099063281420268,0.00719008546802292,0.00145379936128768,0.0299655588493506,0.06899934950551903,0.00727252480758918,34.31181756508673,11.57476741799794,11.301280285300813,3.0985150709212768,99.72522593799115,98.87624827171427,99.38015537899852,99.6913446986458,49.54429050883584,8.09174632966963,15.49444082139051,51.654074345066725,5006.07,218.6025,66.17999999999999,859.7624999999999,0.004291154434613056,0.00805194883611608
LU22,LU22_110,2,44,5000,0.14367339021391495,0.00371317071021641,0.00192979231992705,0.00769784196341374,0.00133164634740944,0.05389769914929104,0.291587300436004,0.4237862832445812,0.06246041925008808,0.03105086365328229,0.0607468003836456,0.0128003646178304,39.71127903570723,15.39361182403523,5.8677688482094075,0.8026800633439831,99.13375418751464,97.01890293933992,99.05624220346044,99.63928160498992,96.89435303077587,22.24022818582282,23.52673201622573,97.96134953106554,4025.1175,189.9525,80.745,1003.9825,0.01493664439421813,0.00485719465058413
LU22,LU22_48,5,46,5000,0.0061636644657763,0.00232310964970433,2.747192906888862e-4,0.00213677210604536,0.00380966587963687,0.0814919334125624,0.4189714068569401,0.3813171657829882,0.05475155697112581,0.0178904917281397,0.04365661794011584,0.00407676885404909,47.42205485421984,22.39314068818125,4.197954968942495,0.737919130408179,99.020499168828,97.33121107916088,99.4564753552052,99.77803570301258,99.73100013488168,39.77546018827446,14.845255091783162,108.98566436858836,5072.3775,453.5075,15.8175,44.692499999999995,0.023384786743234225,0.0118092014161928
LU22,LU22_107,0,51,5000,0.07725330502180833,0.00291481344302112,0.00178537174947956,0.00512149250371237,0.00219931022654171,0.04035140321771771,0.438613450813991,0.3299807352270072,0.0487517486780223,0.0310352713474564,0.07167557598866296,0.00500290890029736,40.80506774197162,19.84834504431286,4.683491982254223,0.46427992531081985,98.91899281517618,97.01289168986985,98.90777468883223,99.76723808416928,119.98891648456596,27.254504427838967,24.096784158080705,128.67185191099975,4368.73,272.4125,32.2575,534.76,0.02460621410784095,0.00425079155240787
LU22,LU22_49,1,50,5000,0.0106580496049724,0.00246963350406327,2.890446248850282e-4,0.00266895444458071,0.00376616503188156,0.05599069445925521,0.3527454877283159,0.4753617963547662,0.0625447132626966,0.02148751262566782,0.03089141420030289,0.00449426010170814,50.88826823110703,19.676805984831823,3.356468031400976,0.5982977947467759,99.08596570984798,96.97917255239383,99.39338351295731,99.76600065323116,97.67365509676507,30.240002341424184,17.081580181371297,105.16748499866068,5363.6325,267.48,16.0925,66.4225,0.02226238639753814,0.0120265017206063
LU22,LU22_103,0,51,5000,0.08696220808401584,0.00165596973615839,0.00220809716469273,0.00299386816732306,0.00117137455293978,0.04897350044817092,0.3740070386251489,0.2883694482848672,0.08897212244800053,0.0179322449677359,0.155326682774159,0.0019926412881053,45.30897757492355,21.961976954422507,7.024238136359775,0.8987976581917123,99.01994794613546,98.29635135176156,98.12826371274164,99.80217520017518,97.30444724530884,34.16729389204428,14.373906066981943,113.73913065608303,4351.0075,652.165,18.34,551.4975000000001,0.02201161756188202,0.00168262727296757
LU22,LU22_44,0,48,5000,0.111312629443448,0.00254408897268891,0.00291137076780758,0.00641559867346035,0.00550960613080455,0.08192489929892408,0.22041466881432303,0.499229205321585,0.06684671910086756,0.03575107940246468,0.07667160335797263,0.0036534631905264,43.51709282743297,13.579568760871233,3.4414798043362507,0.7598190921865466,98.93530252228406,96.58520744736865,99.08198701096086,99.80053225338294,109.80738231526158,32.91173791753264,24.281529068896287,127.87966572256524,4281.5575,243.115,27,705.4975,0.022460800345153,0.00941406804146914
LU22,LU22_21,1,50,5000,0.13740650080466604,0.00473713746390857,0.00402606243880245,0.00858436752701205,0.00651194010691927,0.09349500202898134,0.16706613610792712,0.476536199551693,0.10874200848859908,0.0488578838120024,0.08160133403891393,0.00651225769588323,46.030761585779246,6.48743853135715,3.3050139212548335,0.967118863564374,98.95547918325384,96.06650534060267,99.28087637574782,99.7333437907342,118.14860353145336,31.203146845916844,33.23848046661884,142.08779165665914,3991.8925,137.5025,41.9825,854.5025,0.022280675451461875,0.00906789015412418
LU22,LU22_15,20,31,5000,0.09448730013054908,0.00510980867042362,0.00416847653483872,0.00720205754894314,0.00571290461604361,0.06350273509469807,0.224509660159649,0.4338709504120301,0.14338747458566606,0.04602754599413909,0.05887702223737973,0.00555164206787412,44.9952308868004,7.441072928481817,3.213492902595992,0.5208687046329663,99.05117131634472,96.2132428682086,99.33392450912686,99.65018904717058,121.94103967908076,22.667943387403092,34.3238523033463,142.05002751736137,4346.925,95.525,36.9675,585.1975,0.02321609780729387,0.0065679601088115
