array,camera,site,date
LU3,20,LU3_20,2021-10-06
LU3,20,LU3_20,2021-10-07
LU3,20,LU3_20,2021-10-08
LU3,20,LU3_20,2021-10-09
LU3,20,LU3_20,2021-10-10
LU3,20,LU3_20,2021-10-11
LU3,20,LU3_20,2021-10-12
LU3,20,LU3_20,2021-10-13
LU3,20,LU3_20,2021-10-14
LU3,20,LU3_20,2021-10-15
LU3,20,LU3_20,2021-10-16
LU3,20,LU3_20,2021-10-17
LU3,20,LU3_20,2021-10-18
LU3,20,LU3_20,2021-10-19
LU3,20,LU3_20,2021-10-20
LU3,20,LU3_20,2021-10-21
LU3,20,LU3_20,2021-10-22
LU3,20,LU3_20,2021-10-23
LU3,20,LU3_20,2021-10-24
LU3,20,LU3_20,2021-10-25
LU3,20,LU3_20,2021-10-26
LU3,20,LU3_20,2021-10-27
LU3,20,LU3_20,2021-10-28
LU3,20,LU3_20,2021-10-29
LU3,20,LU3_20,2021-10-30
LU3,20,LU3_20,2021-10-31
LU3,20,LU3_20,2021-11-01
LU3,20,LU3_20,2021-11-02
LU3,20,LU3_20,2021-11-03
LU3,20,LU3_20,2021-11-04
LU3,20,LU3_20,2021-11-05
LU3,20,LU3_20,2021-11-06
LU3,20,LU3_20,2021-11-07
LU3,20,LU3_20,2021-11-08
LU3,20,LU3_20,2021-11-09
LU3,20,LU3_20,2021-11-10
LU3,20,LU3_20,2021-11-11
LU3,20,LU3_20,2021-11-12
LU3,20,LU3_20,2021-11-13
LU3,20,LU3_20,2021-11-14
LU3,20,LU3_20,2021-11-15
LU3,20,LU3_20,2021-11-19
LU3,20,LU3_20,2021-11-20
LU3,20,LU3_20,2021-11-21
LU3,20,LU3_20,2021-11-22
LU3,20,LU3_20,2021-11-23
LU3,20,LU3_20,2021-11-24
LU3,20,LU3_20,2021-11-25
LU3,20,LU3_20,2021-11-26
LU3,20,LU3_20,2021-11-27
LU3,20,LU3_20,2021-11-28
LU3,20,LU3_20,2021-11-29
LU3,20,LU3_20,2021-11-30
LU3,20,LU3_20,2021-12-01
LU3,20,LU3_20,2021-12-02
LU3,20,LU3_20,2021-12-03
LU3,20,LU3_20,2021-12-04
LU3,20,LU3_20,2021-12-05
LU3,20,LU3_20,2021-12-06
LU3,20,LU3_20,2021-12-07
LU3,20,LU3_20,2021-12-08
LU3,20,LU3_20,2021-12-09
LU3,20,LU3_20,2021-12-10
LU3,20,LU3_20,2021-12-11
LU3,20,LU3_20,2021-12-12
LU3,20,LU3_20,2021-12-13
LU3,20,LU3_20,2021-12-14
LU3,20,LU3_20,2021-12-15
LU3,20,LU3_20,2021-12-16
LU3,20,LU3_20,2021-12-17
LU3,20,LU3_20,2021-12-18
LU3,20,LU3_20,2021-12-19
LU3,20,LU3_20,2021-12-20
LU3,20,LU3_20,2021-12-21
LU3,20,LU3_20,2021-12-22
LU3,20,LU3_20,2021-12-23
LU3,20,LU3_20,2021-12-24
LU3,20,LU3_20,2021-12-25
LU3,20,LU3_20,2021-12-26
LU3,20,LU3_20,2021-12-27
LU3,20,LU3_20,2021-12-28
LU3,20,LU3_20,2021-12-29
LU3,20,LU3_20,2021-12-30
LU3,20,LU3_20,2021-12-31
LU3,20,LU3_20,2022-01-01
LU3,20,LU3_20,2022-01-02
LU3,20,LU3_20,2022-01-03
LU3,20,LU3_20,2022-01-04
LU3,20,LU3_20,2022-01-05
LU3,20,LU3_20,2022-01-06
LU3,20,LU3_20,2022-01-07
LU3,20,LU3_20,2022-01-08
LU3,20,LU3_20,2022-01-09
LU3,20,LU3_20,2022-01-10
