array,camera,site,treatment,date
CL,1,CL_1,post,2019-01-02
CL,1,CL_1,post,2019-01-03
CL,1,CL_1,post,2019-01-04
CL,1,CL_1,post,2019-01-05
CL,1,CL_1,post,2019-01-06
CL,1,CL_1,post,2019-01-07
CL,1,CL_1,post,2019-01-08
CL,1,CL_1,post,2019-01-09
CL,1,CL_1,post,2019-01-10
CL,1,CL_1,post,2019-01-11
CL,1,CL_1,post,2019-01-12
CL,1,CL_1,post,2019-01-13
CL,1,CL_1,post,2019-01-14
CL,1,CL_1,post,2019-01-15
CL,1,CL_1,post,2019-01-16
CL,1,CL_1,post,2019-01-17
CL,1,CL_1,post,2019-01-18
CL,1,CL_1,post,2019-01-19
CL,1,CL_1,post,2019-01-20
CL,1,CL_1,post,2019-01-21
CL,1,CL_1,post,2019-01-22
CL,1,CL_1,post,2019-01-23
CL,1,CL_1,post,2019-01-24
CL,1,CL_1,post,2019-01-25
CL,1,CL_1,post,2019-01-26
CL,1,CL_1,post,2019-01-27
CL,1,CL_1,post,2019-01-28
CL,1,CL_1,post,2019-01-29
CL,1,CL_1,post,2019-01-30
CL,1,CL_1,post,2019-01-31
CL,1,CL_1,post,2019-02-01
CL,1,CL_1,post,2019-02-02
CL,1,CL_1,post,2019-02-03
CL,1,CL_1,post,2019-02-04
CL,1,CL_1,post,2019-02-05
CL,1,CL_1,post,2019-02-06
CL,1,CL_1,post,2019-02-07
CL,1,CL_1,post,2019-02-08
CL,1,CL_1,post,2019-02-09
CL,1,CL_1,post,2019-02-10
CL,1,CL_1,post,2019-02-11
CL,1,CL_1,post,2019-02-12
CL,1,CL_1,post,2019-02-13
CL,1,CL_1,post,2019-02-14
CL,1,CL_1,post,2019-02-15
CL,1,CL_1,post,2019-02-16
CL,1,CL_1,post,2019-02-17
CL,1,CL_1,post,2019-02-18
CL,1,CL_1,post,2019-02-19
CL,1,CL_1,post,2019-02-20
CL,1,CL_1,post,2019-02-21
CL,1,CL_1,post,2019-02-22
CL,1,CL_1,post,2019-02-23
CL,1,CL_1,post,2019-02-24
CL,1,CL_1,post,2019-02-25
CL,1,CL_1,post,2019-02-26
CL,1,CL_1,post,2019-02-27
CL,1,CL_1,post,2019-02-28
CL,1,CL_1,post,2019-03-01
CL,1,CL_1,post,2019-03-02
CL,1,CL_1,post,2019-03-03
CL,1,CL_1,post,2019-03-04
CL,1,CL_1,post,2019-03-05
CL,1,CL_1,post,2019-03-06
CL,1,CL_1,post,2019-03-07
CL,1,CL_1,post,2019-03-08
CL,1,CL_1,post,2019-03-09
CL,1,CL_1,post,2019-03-10
CL,1,CL_1,post,2019-03-11
CL,1,CL_1,post,2019-03-12
CL,1,CL_1,post,2019-03-13
CL,1,CL_1,post,2019-03-14
CL,1,CL_1,post,2019-03-15
CL,1,CL_1,post,2019-03-16
CL,1,CL_1,post,2019-03-17
CL,1,CL_1,post,2019-03-18
CL,1,CL_1,post,2019-03-19
