"Site","BUFF_DIST","LC_class20","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230","Gridcll","Lab"
"LU2-13",2000,0,0,0.0334937438121815,0.0143782592519297,0,0,0.275138184006198,0.425874713349056,0.251115099115022,"LU2-13","ACME"
"LU2-137",2000,0.0322244721152804,0,0.0322043571372251,0.0182932709303772,0.0483581008918169,0,0.326456653118414,0.359405116940155,0.183058028783885,"LU2-137","ACME"
"LU2-143",2000,0,0,0.0134000222510104,0,0,0,0.304110330975041,0.203194003375043,0.479295642779049,"LU2-143","ACME"
"LU2-15",2000,0,0,0.029572893555689,0.00193461616090411,0,0,0.211416370813978,0.494839059198937,0.262237060475014,"LU2-15","ACME"
"LU2-153",2000,0.0804135774773526,0,0.0285050487664704,0.00619793716010804,0.101644502085143,0,0.0284309833596164,0.348965566053418,0.405842385229561,"LU2-153","ACME"
"LU2-155",2000,0.00343931793307573,0,0,0.00553848585927315,0.0328912310394451,0,0.17048022291743,0.256799243563448,0.530851498687303,"LU2-155","ACME"
"LU2-17",2000,0,0,0.0280698008920458,0.083190496277905,0,0,0.136225355513304,0.232088488222005,0.520425859042932,"LU2-17","ACME"
"LU2-18",2000,0.0018984690478427,0,0.0447369000616743,0,0,0,0.376474519257049,0.186237680634093,0.390652430394806,"LU2-18","ACME"
"LU2-20",2000,0.000946742750887455,0,0.0286435795704559,0.0287502057597208,0.0572361703246858,0,0.485734458814938,0.21694980753098,0.181739035615921,"LU2-20","ACME"
"LU2-21",2000,0.000945413514492433,0,0.0277803847641347,0.0333788511906699,0.0605180828892508,0,0.486273260091924,0.249810223502148,0.141293784513326,"LU2-21","ACME"
"LU2-24",2000,0.0542479806678625,0,0.0419165129055713,0.0332222877344688,0.071601918122253,0,0.274857770762545,0.279798210980219,0.244355318802039,"LU2-24","ACME"
"LU2-25",2000,0.00298551985595165,0,0.0274988843161894,0.051387044603898,0.0232896194367914,0,0.241100613156925,0.352609793710813,0.301128525034668,"LU2-25","ACME"
"LU2-26",2000,0.00343931793307579,0,0,0.00247200959057703,0.00752543939215041,0,0.208217050771276,0.194158422083455,0.584187760229501,"LU2-26","ACME"
"LU2-27",2000,0,0,0.0654055706981742,0.0531891825918311,0.0269021414163298,0,0.0581409257672324,0.158729390029431,0.637632791473372,"LU2-27","ACME"
"LU2-29",2000,0.0179276016489601,0,0.0281777574937046,0.0240611852569499,0,0,0.159848708150464,0.462658046278401,0.307326698171448,"LU2-29","ACME"
"LU2-30",2000,0.0397866749321454,0,0.0263019107058873,0.0500911322651252,0,0,0.125238629962902,0.5062953645716,0.25228628700428,"LU2-30","ACME"
"LU2-31",2000,0.0038131355467742,0,0.026115709753911,0.00319533837852579,0,0,0.322231270525709,0.27642727940532,0.368217266682087,"LU2-31","ACME"
"LU2-32",2000,0.103795943384769,0,0.0412614262997176,0,0,0,0.39957857569819,0.175073058319208,0.280290996251704,"LU2-32","ACME"
"LU2-33",2000,0,0,0.025736734121449,0.00141699816793681,0,0,0.155848895717933,0.351413854839118,0.465583516991772,"LU2-33","ACME"
"LU2-34",2000,0.0308785297924098,0,0.0301947928343985,0.0252853550367213,0,0,0.252201956261393,0.359349026406194,0.302090339052115,"LU2-34","ACME"
"LU2-36",2000,0,0,0.0212146026322187,0,0,0,0.000318019863464309,0.910172325684489,0.0682950512368016,"LU2-36","ACME"
"LU2-38",2000,0,0,0.0252743309070524,0.0882729802368873,0,0,0.146307632253014,0.266530654168049,0.473614402510391,"LU2-38","ACME"
"LU2-39",2000,0,0,0.0345949452667919,0.0596519343810579,0,0,0.171714759214969,0.201906341535899,0.53213202007029,"LU2-39","ACME"
"LU2-40",2000,0.0510399470357334,0,0.0315511214217227,0.0278147194672819,0.0417163744191148,0,0.265693947457396,0.409764749315425,0.172419140635212,"LU2-40","ACME"
"LU2-42",2000,0,0,0.0336636197917647,0,0,0,0.364437045876027,0.177942303935379,0.423957029094155,"LU2-42","ACME"
"LU2-44",2000,0,0,0,0,0,0,0.222977695604276,0.245614953706485,0.531407350688963,"LU2-44","ACME"
"LU2-46",2000,0.0131266933672053,0,0.0259583526422944,0.143590758500026,0.0218655847351023,0,0.157419198308911,0.327329157728491,0.310710254628157,"LU2-46","ACME"
"LU2-47",2000,0.00298551985595169,0,0.0284602509132075,0.0669765471794462,0.0344648890665102,0,0.129008244355151,0.397828481080934,0.34027606825536,"LU2-47","ACME"
"LU2-50",2000,0.0161171386007537,0,0.0290447114235734,0.0335081448196494,0.0498273821590707,0,0.0957606637478533,0.370821104752192,0.404920854178479,"LU2-50","ACME"
"LU2-51",2000,0.183355535575243,0,0.0287144172593906,0,0.119825633648884,0,0.0151370136694382,0.290751113424605,0.36221628680727,"LU2-51","ACME"
"LU2-52",2000,0,0,0.0247132534841207,0.0787657235293263,0.0415034094821568,0,0.125829900855008,0.262322890363673,0.466864822038486,"LU2-52","ACME"
"LU2-54",2000,0,0,0.0398624431110267,0.0397828594399113,0.0492770475713793,0,0.183754763059436,0.22534121259591,0.461981673704992,"LU2-54","ACME"
"LU2-56",2000,0,0,0.0317275153898763,0.0276598916355506,0.0444320071112128,0,0.150220454458081,0.54649677251723,0.199463358141341,"LU2-56","ACME"
"LU2-57",2000,0.131525671762543,0,0.00535750422602441,0.00507538380231546,0.0408409016329791,0,0.115959161680421,0.603770881264881,0.0974704954844146,"LU2-57","ACME"
"2-0-CA22B",2000,0.0650793697905413,0,0.0207823697619721,0.0517625132599148,0.0747395405115437,0,0.17278137827604,0.169264786472204,0.445590045584227,"LU2-22","ABMI"
"2-0-CA16B",2000,0.0226548695360441,0,0.0272380520467299,0.0357457202301506,0.0344661936360299,0,0.211686306531969,0.354013400980614,0.314195456883788,"LU2-16","ABMI"
"2-0-CA48B",2000,0.0044902217198627,0,0.0597490155968891,0.0960159187787524,0.0438966475872001,0,0.114031020859559,0.211216207654921,0.470600967812606,"LU2-48","ABMI"
"2-0-CA49B",2000,0.123928204708877,0,0.0482233727644421,0.0929540603390123,0.0494629878803109,0,0.0667949279207515,0.227008581950813,0.391627864453695,"LU2-49","ABMI"
"2-1B1-CA21B",2000,0.00879413870710702,0,0.0270272772691277,0.0320063523610557,0.0476252305965479,0,0.442901110231033,0.282975241276341,0.158670650210681,"LU2-21","ABMI"
"LU3-05",2000,0,0,0.0296392301555643,0.00198238588101421,0.0479548516811422,0,0.804213720136485,0.0461212572378849,0.0700885550140342,"LU3-05","ACME"
"LU3-07",2000,0.0255770066770085,0,0.040470156304345,0.0164780244506864,0.150224137308304,0,0.588945282014349,0.0829230734355335,0.0953823196485892,"LU3-07","ACME"
"LU3-10",2000,0.0108234457053406,0,0.061192788491743,0.00983289453550664,0.0644611537775094,0,0.631557791664802,0.150145295569723,0.0719866309162384,"LU3-10","ACME"
"LU3-102",2000,0,0,0.0327456740864466,0,0.0546349608875842,0,0.832682474596381,0.0319251529401331,0.0480117372999424,"LU3-102","ACME"
"LU3-103",2000,0,0,0.0125769320176915,0,0.0443789112176045,0,0.815686448179011,0.041220231814419,0.086137475020737,"LU3-103","ACME"
"LU3-111",2000,0.167213236297509,0.00333781240098062,0.0453949438780734,0.292512894984094,0.0842828503727182,0,0.292547080652693,0.0337732945973258,0.0809378855724253,"LU3-111","ACME"
"LU3-126",2000,0.00365427603626551,0,0,0.0349215695380446,0.106131521378282,0,0.731941866977044,0.0669260981315921,0.0564246679389615,"LU3-126","ACME"
