"Site","BUFF_DIST","Feature_Area","Buffer_Area","CONVENTIONAL-SEISMIC","LOW-IMPACT-SEISMIC","TRAIL","HARVEST-AREA","WELL-ABAND","RUNWAY","WELL-OTHER","CLEARING-WELLPAD-UNCONFIRMED","CLEARING-UNKNOWN","VEGETATED-EDGE-ROADS","ROAD-GRAVEL-1L","TRUCK-TRAIL","ROAD-UNIMPROVED","ROAD-WINTER","ROAD-WINTER-ACCESS","BORROWPITS","SUMP","BORROWPIT-DRY"
"RICH50","500","0","785039.343643888","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH51","500","0","785039.343644005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH52","500","0","785039.34364432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH53","500","0","785039.343644256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH54","500","0","785039.343644232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH55","500","0","785039.343644168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH56","500","0","785039.343644112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH57","500","0","785039.343644311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH58","500","0","785039.343644109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH01","750","0","1766338.52319944","0.0127169591570328","0","0.00185455418031122","0","0.0015031003959208","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH02","750","0","1766338.52319918","0.00340704008558396","0","0.000472370535217011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH03","750","0","1766338.52319919","0.00272496693631892","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH04","750","0","1766338.52319946","0.00509846320174672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH05","750","0","1766338.52319939","0.00377313175925789","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH06","750","0","1766338.52319946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH07","750","0","1766338.52319922","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH08","750","0","1766338.5231995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH09","750","0","1766338.52319947","0.00510187510914991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH10","750","0","1766338.52319949","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH11","750","0","1766338.52319931","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH12","750","0","1766338.52319951","0.00509926674143477","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH13","750","0","1766338.52319939","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH14","750","0","1766338.52319936","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH15","750","0","1766338.52319965","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH16","750","0","1766338.52319916","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH17","750","0","1766338.52319949","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH18","750","0","1766338.52319939","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH19","750","0","1766338.52319957","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH20","750","0","1766338.52319907","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH21","750","0","1766338.5231993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH22","750","0","1766338.52319925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH23","750","0","1766338.52319945","0.00524599557304992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH24","750","0","1766338.52319977","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH25","750","0","1766338.52319916","0.00509398643131088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH26","750","0","1766338.52319946","0.00509574783529525","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH27","750","0","1766338.52319942","0.00569124543376146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH28","750","0","1766338.52319928","0.0050967717292049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH29","750","0","1766338.52319955","0.00510671142704726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH30","750","0","1766338.52319931","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH31","750","0","1766338.52319955","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH32","750","0","1766338.52319913","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH33","750","0","1766338.52319948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH34","750","0","1766338.52319955","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH35","750","0","1766338.52319918","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH36","750","0","1766338.5231993","0.00509207757890509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH37","750","0","1766338.52319942","0.00260992664457125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH38","750","0","1766338.5231991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH39","750","0","1766338.52319941","0.00510442719689223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH40","750","0","1766338.52319931","0.00421086073647707","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH41","750","0","1766338.52319914","0.0051203856460198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH42","750","0","1766338.52319939","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH43","750","0","1766338.52319936","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH44","750","0","1766338.52319916","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH45","750","0","1766338.52319981","0.00297351915851494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH46","750","0","1766338.52319952","0.00399428365699463","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH47","750","0","1766338.52319923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH48","750","0","1766338.52319924","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH49","750","0","1766338.52319934","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH50","750","0","1766338.52319911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH51","750","0","1766338.52319944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH52","750","0","1766338.52319933","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH53","750","0","1766338.52319924","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH54","750","0","1766338.5231991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH55","750","0","1766338.52319959","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH56","750","0","1766338.52319943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH57","750","0","1766338.52319946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH58","750","0","1766338.52319914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH01","1000","0","3140157.37457657","0.0106213002040508","0","0.00176561662934652","0","0.00170437356073184","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH02","1000","0","3140157.37457662","0.00239386595217266","0","0.000585384693068355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH03","1000","0","3140157.37457625","0.00342018871224517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH04","1000","0","3140157.37457693","0.0038230028010489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH05","1000","0","3140157.37457637","0.00273239706426671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH06","1000","0","3140157.37457682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
