buffer,site,water_area_mn,natural_area_mn,anthropogenic_area_mn,water_cohesion,natural_cohesion,anthropogenic_cohesion,water_core_mn,natural_core_mn,anthropogenic_core_mn,water_ed,natural_ed,anthropogenic_ed,water_lpi,natural_lpi,anthropogenic_lpi,water_np,natural_np,anthropogenic_np,water_pd,natural_pd,anthropogenic_pd,water_split,natural_split,anthropogenic_split,water_tca,natural_tca,anthropogenic_tca,landscape_split
4750,LU3_14,7.787941176470588,6.108213220675944,2.4341194029850746,98.7702929146261,99.29355263231288,99.86291133776012,6.1702941176470585,3.833861829025845,0.5561268656716417,2.5223161178326268,186.0465444163443,183.86119506886493,0.5962126485905378,5.482054580862332,10.728761136029185,17,1006,335,0.23968347682031668,14.183622216543448,4.723174396165064,13909.093819427684,65.99061412805001,86.86956276211231,104.895,3856.865,186.30249999999998,37.40124565136702
5000,LU3_14,7.335795454545455,6.0152802294792584,2.29630859375,98.76674871172631,99.30302526812585,99.8656370131768,5.793863636363636,3.799221094439541,0.5052083333333333,2.806521488086281,184.88111413367656,182.4016277951882,0.6065738518855263,5.766285030220529,10.402103714044028,22,1133,384,0.27995226813828245,14.417541809121545,4.886439589322747,12901.58705665088,67.01507889308385,92.41102942341944,127.465,4304.5175,194,38.72855127528056
250,LU3_19,NA,8.035,0.5703571428571429,NA,99.85174030496843,95.86527084666685,NA,5.2725,0.18035714285714285,NA,132.58566978193147,132.58566978193147,NA,80.06230529595015,10.442367601246106,NA,2,7,NA,9.968847352024921,34.890965732087224,NA,1.5600686995262718,73.00904895299917,NA,10.545,1.2625,1.5274303309380501
500,LU3_19,NA,3.4425,1.5884090909090909,NA,99.16431450849082,99.11993331844975,NA,1.956388888888889,0.5838636363636364,NA,196.56963021243115,196.56963021243115,NA,49.82533438237608,20.006294256490953,NA,18,11,NA,22.659323367427223,13.847364280094416,NA,3.8221616499032627,24.907590466624107,NA,35.215,6.4225,3.313667193747229
750,LU3_19,2.325,4.736612903225806,1.0308035714285715,97.08468807889562,99.2648087847136,99.22307786164525,1.285,2.8327419354838708,0.31053571428571425,4.493813984187391,194.1608504542965,191.35221671417938,1.3060146891544608,39.11162914800095,14.353522728868542,1,31,28,0.561726748023424,17.413529188726145,15.72834894465587,5862.783768065672,5.331789535189684,48.435660382067816,1.285,87.815,8.694999999999999,4.799136860749685
1000,LU3_19,2.325,5.982093023255814,1.0618867924528301,96.99375833466863,99.60821440676715,99.35076558354176,1.285,3.4999418604651162,0.31981132075471697,2.5329681637563914,207.79837573416498,206.21527063181722,0.7361438725917013,48.3488213782513,14.902559880950495,1,43,53,0.31662102046954893,13.614703880190604,16.780914084886096,18453.323570354958,3.8841325885770317,44.92117472781229,1.285,150.4975,16.95,3.574324439901324
1250,LU3_19,2.325,7.964038461538462,1.1590151515151514,96.93917794163353,99.60855706024542,99.40134530709828,1.285,4.751057692307692,0.3087121212121212,1.622882645298712,202.58646921594482,201.57216756263313,0.47165026878993815,40.91337863880719,12.714778375088754,1,52,66,0.20286033066233897,10.548737194441628,13.388781823714375,44953.1187420511,5.014858590173637,61.72998265922008,1.285,247.055,20.375,4.637589834856113
1500,LU3_19,2.325,7.348871951219513,1.33849358974359,96.90279088291153,99.58899876221916,99.56032046616781,1.285,4.4175609756097565,0.32618589743589743,1.1278168989264592,200.58928432968906,199.88439876786003,0.32777178625050224,34.44106099374766,12.523701777016502,1,82,78,0.1409771123658074,11.560123213996206,10.996214764532978,93080.10493236213,6.431069302334028,63.64255984721949,1.285,362.24,25.442500000000003,5.84048573296214
1750,LU3_19,2.325,7.88647619047619,1.1997767857142856,96.87681735304167,99.54255954962161,99.6171024592401,1.285,4.7940000000000005,0.2866517857142857,0.8292045855013579,197.14339020294784,196.62513733700948,0.24098758266133213,27.920873152428534,12.096799270299964,1,105,112,0.10365057318766974,10.883310184705323,11.60886419701901,172191.08769106254,8.713464615105657,68.26589315315671,1.285,503.37,32.105,7.726821441786891
2000,LU3_19,2.325,9.513157894736842,1.2428776978417266,96.85732559603163,99.55281511964304,99.64743636942434,1.285,5.887039473684211,0.30433453237410074,0.6351298245056903,189.49495270267587,189.0979965623598,0.18458460524696627,21.871290941063922,11.795948665631935,1,114,139,0.07939122806321129,9.050599999206087,11.03538070078637,293500.63539831195,9.798102974195944,71.80868034292341,1.285,671.1225000000001,42.3025,8.621442339144151
2250,LU3_19,2.325,9.825017857142857,1.332391975308642,96.84216350543603,99.54212296559017,99.67040586702413,1.285,6.103892857142857,0.32611111111111113,0.5019844071093542,187.30920670776663,186.9954664533233,0.14588921831615606,22.40827019310713,11.435989144587197,1,140,162,0.06274805088866926,8.784727124413697,10.165184243964422,469843.9136316336,11.189279788408829,76.39047970527533,1.285,854.545,52.83,9.75952321301964
