array,site,buff_dist,buffer_area,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_water,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial
LU15,LU15_37,4500,0,0,0.015977753,0.0027748599999999997,0.009560863,0,3.3948100000000015e-4,0,0.003125219,0.008697688,0.023234850999999994,0,0.9302528409999998,0.00103439,0.020106864999999995,0.017806684,0.007564369999999997,0.003938174
LU15,LU15_18,4500,0,0,0.014926972,0.0027443949999999997,0.009764197999999995,0,8.950000000000006e-5,0,0.003218097,0.007799216000000001,0.08797983899999998,0,0.697930607,0.025234679,0.068824118,0.018548748,0.10108570900000002,0.0045814060000000005
LU15,LU15_43,4500,0,0,0.016236438,0.002726819,0.008946972000000003,0,3.020000000000002e-5,0,0.0030600460000000007,0.008437647,0.06724224000000004,0,0.7826157639999998,0.038091533,0.046532680000000014,0.017526514000000007,0.04799126800000001,0.0031790510000000004
LU15,LU15_10,4500,0,0,0.014273469,0.0023091249999999995,0.009287223,0,4.100000000000003e-5,0,0.0025705710000000002,0.007947855,0.08472694200000006,0,0.709603618,0.043519453000000013,0.06257782199999998,0.014856245000000004,0.084715919,0.002194726
LU15,LU15_58,4500,0,0,0.011122359999999998,0.001583172,0.009613051999999997,0,1.7550000000000013e-5,0,0.0017147680000000004,0.005850147000000001,0.08670429100000003,0,0.6708651939999998,0.061645201,0.07175005100000002,0.010870963,0.09816430100000002,0.002194726
LU15,LU15_08,4500,0,0.007248748,0.010225703999999999,0.00167305,0.006403362,0.004131023,1.381800000000001e-4,0,0.001836904,0.007939721,0.042353014000000015,0,0.888874379,0.011476281,0.044220028,0.010204674,0.0028716230000000002,0.003588847
LU15,LU15_12,4500,0,0,0.015184745,0.002480871,0.007988613,0.0037771790000000007,3.860650000000002e-4,0,0.0029559099999999995,0.008639666,0.04154813800000001,0,0.912058544,0.002525233,0.018163117000000006,0.015037327,0.010667640999999999,0.004715825
LU15,LU15_17,4500,0,0,0.017950142000000006,0.0011213380000000006,0.006602444,0.014937979,2.1208700000000013e-4,0,0.0026111719999999997,0.008211629000000002,0.05103331100000002,0,0.8395163639999996,0.0052209019999999995,0.060463178,0.004531468,0.039234775999999985,0.00299786
LU15,LU15_01,4500,0,0,0.009859666999999999,0.00247,0.014161435999999998,0,4.7403900000000026e-4,0,0.00375915,0.005811290000000001,0.113460332,0.004156104,0.5008999020000002,0,0.032607428000000015,0.015578696,0.33329753799999984,0.0060478730000000005
LU15,LU15_26,4500,0,0,0.010224603,0.002386767,0.014197498999999997,0,4.0796800000000036e-4,0,0.003670007,0.005924572000000001,0.095631098,0.0035688250000000007,0.561497883,4.900000000000004e-5,0.03611239500000001,0.015535352,0.2876054630000001,0.005504427
