buffer,site,water_cai_mn,natural_cai_mn,anthropogenic_cai_mn,water_ed,natural_ed,anthropogenic_ed,water_tca,natural_tca,anthropogenic_tca,landscape_cai_mn,landscape_ed,landscape_tca,natural_cohesion
100,LU22_107,NA,21.17514497717668,0,NA,269.6969696969697,269.6969696969697,NA,0.775,0,NA,NA,NA,96.93433946050133
250,LU22_107,NA,25.797744263079196,23.88746803069054,NA,245.26892430278883,245.26892430278883,NA,5.6125,1.1675,NA,NA,NA,96.8118952377698
500,LU22_107,NA,24.073016101243333,22.488803582853485,NA,222.98488664987403,222.98488664987403,NA,31.325,3.515,NA,NA,NA,97.45763402926298
750,LU22_107,33.14291182638219,30.604069512659663,2.4151845177466114,8.76269115726503,191.88046790523936,183.84800101107976,2.91,75.3275,9.2475,NA,NA,NA,97.8717920246656
1000,LU22_107,76.28507381927804,28.265769615304414,2.644391932736166,11.143295819681214,173.037656109027,164.11035661712333,24.6725,133.9175,12.03,NA,NA,NA,98.23376820378556
1250,LU22_107,75.64795083998217,29.9562488539228,2.393809680605861,12.182380686717046,159.44616320941321,148.9678957245017,38.1625,231.58,14.54,NA,NA,NA,98.3587850843238
1500,LU22_107,78.85557238997922,31.116874597483395,1.7012827651892146,10.7643612934152,148.74133810809477,139.16126803753076,55.95,359.065,16.88,NA,NA,NA,98.53594739732372
1750,LU22_107,80.20169699740022,32.01693607374506,1.025102304248716,9.46816091209432,143.33354926475351,134.7360238388288,70.1825,515.9125,18.6625,NA,NA,NA,98.68866460046404
2000,LU22_107,80.37540204502905,34.78654066334635,0.874790826065017,8.514743009574621,140.6738754187904,132.82602137220343,83.715,693.7825,21.93,NA,NA,NA,98.75259057498356
2250,LU22_107,80.21154047544246,36.24480750618013,1.469253000059213,7.727458833163128,138.9750371391774,131.88133660252217,95.7425,894.6175000000001,28.04,NA,NA,NA,98.87708469280436
2500,LU22_107,80.43909608671689,35.75083456805889,2.9422457741318695,7.0638773798327446,134.77034137413895,128.3317658422511,109.4575,1110.185,62.8125,NA,NA,NA,98.8955687379067
2750,LU22_107,80.64278342916114,35.781431997002734,1.6319795414567542,6.551727760792595,131.39387062543994,125.62381147497923,123.075,1353.74,95.9325,NA,NA,NA,98.93682521402864
3000,LU22_107,80.84729621142228,36.118879523899864,1.2964546160090906,6.052011627208799,128.99420405539524,123.59913678923742,135.8275,1617.8575,140.9975,NA,NA,NA,98.9525387915447
3250,LU22_107,40.42193064413481,36.34809838473796,1.3193197059220385,5.711280116844213,126.66550785620818,121.51406863619296,149.26,1900.555,197.42,NA,NA,NA,98.9800764520634
3500,LU22_107,41.6044708308318,36.81475419717397,0.6993593355052286,5.587034446241178,125.07300132116168,120.12967630240846,163.21,2207.65,255.695,NA,NA,NA,98.99665607458196
3750,LU22_107,47.64166411534597,38.06437963347449,0.5476454385874626,5.44859310632558,123.11513898208884,118.30423139391382,179.73749999999998,2544.7625,312.995,NA,NA,NA,99.00972470325208
4000,LU22_107,39.468802435555816,37.470817696578905,0.5378284199397861,5.29815672645272,124.5191060615246,119.8669448091282,191.835,2879.775,376.615,NA,NA,NA,99.01804270276952
4250,LU22_107,31.484174850334146,37.402927087948456,0.43234868782979585,5.325742821824892,125.28746156907351,120.84215234318596,207.5675,3246,430.4575,NA,NA,NA,99.01290643843087
4500,LU22_107,31.552042660865975,36.84080083328579,0.4577842571474236,5.056339941865442,125.86186720156952,121.59091712330542,224.8025,3648.135,476.8225,NA,NA,NA,98.99296457689888
4750,LU22_107,31.535101682383143,37.4491770254894,0.4018200905124374,4.754810059613122,125.64893993113456,121.59906835330248,234.6975,4065.32,545.6475,NA,NA,NA,98.97013927254694
5000,LU22_107,31.53160201480424,37.30331182455,0.3567888151781915,4.4779438360988575,124.67300607271028,120.83131455773942,245.6325,4495.25,640.225,NA,NA,NA,98.9680555796431
50,LU22_11,NA,31.135531135531135,0,NA,116.61807580174928,116.61807580174928,NA,0.2125,0,NA,NA,NA,99.30995840066568
100,LU22_11,NA,27.25173210161663,12.5,NA,101.13207547169812,101.13207547169812,NA,1.18,0.1275,NA,NA,NA,98.39218686335192
250,LU22_11,NA,13.93344432436088,4.830287206266318,NA,138.6606920587503,138.6606920587503,NA,9.02,0.74,NA,NA,NA,98.90642816095288
